     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1       165         1        0.13260400        0.12717561               0.00000000              19.19139271
         1       166         8       -0.34446000       -0.30954546               0.00000000             -55.62429382
         1       167         1        0.12072500        0.13208497               0.00000000              19.18947796
         1       168         1        0.11162600        0.11968109               0.00000000              19.18854113
         1       169         8       -0.30361700       -0.29701771               0.00000000             -55.62449459
         1       170         1        0.14816000        0.16029329               0.00000000              19.19056622
         1       171         1        0.13003000        0.12921856               0.00000000              19.18857726
         1       172         8       -0.29861700       -0.29339265               0.00000000             -55.62446604
         1       173         1        0.13471400        0.13845045               0.00000000              19.18722366
         1       174         1        0.12859900        0.11381095               0.00000000              19.19186080
         1       175         8       -0.25362300       -0.25577927               0.00000000             -55.62607460
         1       176         1        0.14759300        0.14747290               0.00000000              19.19016732
         1       177         1        0.15198500        0.15931177               0.00000000              19.18930806
         1       178         8       -0.28864000       -0.29222648               0.00000000             -55.62695054
         1       179         1        0.14096600        0.14037672               0.00000000              19.18982513
         1       180         1        0.14035700        0.15845555               0.00000000              19.18836177
         1       181         8       -0.28740000       -0.29155725               0.00000000             -55.62453922
         1       182         1        0.15241800        0.14851285               0.00000000              19.18872495
         1       183         1        0.14468900        0.14276861               0.00000000              19.18962966
         1       184         8       -0.26820700       -0.26800917               0.00000000             -55.62671633
         1       185         1        0.15112400        0.15009320               0.00000000              19.18963078
         1       186         1        0.14260200        0.14550593               0.00000000              19.19181537
         1       187         8       -0.23158200       -0.26192543               0.00000000             -55.62532771
         1       188         1        0.16052300        0.14708413               0.00000000              19.19031102
         1       189         1        0.15172800        0.13971766               0.00000000              19.18996930
         1       190         8       -0.26473200       -0.29651375               0.00000000             -55.62506785
         1       191         1        0.13533900        0.14307753               0.00000000              19.18903157
         1       192         1        0.14670900        0.13226409               0.00000000              19.18814286
         2         1         8       -0.26550400       -0.25298607               0.00000000             -55.62495888
         2         2         1        0.14204900        0.15454106               0.00000000              19.18957362
         2         3         1        0.12929300        0.11351039               0.00000000              19.18568573
         2         4         8       -0.29520100       -0.28704663               0.00000000             -55.62633387
         2         5         1        0.15637500        0.15176522               0.00000000              19.18905842
         2         6         1        0.14583600        0.14435975               0.00000000              19.18970341
         2         7         8       -0.27120300       -0.26363137               0.00000000             -55.62322247
         2         8         1        0.13313900        0.14400735               0.00000000              19.19265855
         2         9         1        0.13031300        0.13256697               0.00000000              19.18695050
         2        10         8       -0.27662200       -0.28562801               0.00000000             -55.62381266
         2        11         1        0.14154000        0.12384650               0.00000000              19.18928020
         2        12         1        0.14547800        0.14230772               0.00000000              19.19038378
         2        13         8       -0.30132300       -0.31572918               0.00000000             -55.62380820
         2        14         1        0.12671200        0.12653558               0.00000000              19.18931283
         2        15         1        0.12125200        0.12366507               0.00000000              19.18895213
         2        16         8       -0.27250700       -0.25963933               0.00000000             -55.62619505
         2        17         1        0.14007200        0.14644577               0.00000000              19.18995675
         2        18         1        0.14913600        0.14967638               0.00000000              19.18872479
         2        19         8       -0.26836600       -0.27651462               0.00000000             -55.62548106
         2        20         1        0.13760900        0.14563950               0.00000000              19.19049383
         2        21         1        0.13411700        0.13185963               0.00000000              19.18845725
         2        22         8       -0.30323700       -0.27572276               0.00000000             -55.62517577
         2        23         1        0.14023700        0.14234228               0.00000000              19.18901763
         2        24         1        0.12840700        0.13613756               0.00000000              19.18975862
         2        25         8       -0.29607100       -0.30207867               0.00000000             -55.62446844
         2        26         1        0.12665400        0.13803324               0.00000000              19.18930804
         2        27         1        0.12889800        0.12851483               0.00000000              19.18720502
         2        28         8       -0.33105700       -0.31763077               0.00000000             -55.62388594
         2        29         1        0.12193300        0.12389005               0.00000000              19.18731676
         2        30         1        0.12477500        0.13615671               0.00000000              19.19000760
         2        31         8       -0.28563800       -0.30480969               0.00000000             -55.62489264
         2        32         1        0.12996800        0.14023062               0.00000000              19.18816054
         2        33         1        0.13328700        0.14273955               0.00000000              19.18960323
         2        34         8       -0.26265700       -0.27311134               0.00000000             -55.62463734
         2        35         1        0.14188000        0.14244774               0.00000000              19.18898095
         2        36         1        0.16518700        0.14653978               0.00000000              19.19079462
         2        37         8       -0.25424700       -0.25640186               0.00000000             -55.62589427
         2        38         1        0.14807000        0.14314009               0.00000000              19.18903750
         2        39         1        0.13955900        0.14076153               0.00000000              19.18947991
         2        40         8       -0.29090700       -0.29670594               0.00000000             -55.62508020
         2        41         1        0.13570700        0.13949557               0.00000000              19.18769547
         2        42         1        0.13264400        0.14314015               0.00000000              19.19075535
         2        43         8       -0.28653900       -0.28000604               0.00000000             -55.62745638
         2        44         1        0.14402300        0.13628132               0.00000000              19.18894598
         2        45         1        0.13776200        0.13847114               0.00000000              19.19066388
         2        46         8       -0.27939200       -0.27117934               0.00000000             -55.62579425
         2        47         1        0.13578500        0.13402876               0.00000000              19.18878191
         2        48         1        0.14193000        0.13667177               0.00000000              19.18904029
         2        49         8       -0.27321100       -0.24715686               0.00000000             -55.62451499
         2        50         1        0.13239400        0.11897875               0.00000000              19.18806880
         2        51         1        0.12647900        0.11180933               0.00000000              19.18612081
         2        52         8       -0.24605000       -0.25654031               0.00000000             -55.62616609
         2        53         1        0.14343900        0.14420883               0.00000000              19.18929353
         2        54         1        0.14520400        0.14543370               0.00000000              19.18955260
         2        55         8       -0.29568600       -0.29447378               0.00000000             -55.62412974
         2        56         1        0.12318900        0.12312878               0.00000000              19.18995958
         2        57         1        0.12787900        0.12847305               0.00000000              19.18773087
         2        58         8       -0.25547000       -0.26293265               0.00000000             -55.62492331
         2        59         1        0.14767300        0.13016769               0.00000000              19.18957872
         2        60         1        0.15437900        0.15506763               0.00000000              19.18936410
         2        61         8       -0.26482200       -0.26975311               0.00000000             -55.62642389
         2        62         1        0.14156600        0.15147677               0.00000000              19.19094307
         2        63         1        0.14905700        0.15230813               0.00000000              19.18906815
         2        64         8       -0.28990300       -0.27109806               0.00000000             -55.62460888
         2        65         1        0.13944000        0.13485796               0.00000000              19.18877234
         2        66         1        0.12912300        0.10673045               0.00000000              19.18752428
         2        67         8       -0.27611000       -0.28518957               0.00000000             -55.62570867
         2        68         1        0.14216500        0.14063081               0.00000000              19.18928956
         2        69         1        0.16423000        0.15187715               0.00000000              19.18898093
         2        70         8       -0.22448900       -0.20931080               0.00000000             -55.62333854
         2        71         1        0.14749100        0.14423840               0.00000000              19.18725499
         2        72         1        0.13955100        0.13484201               0.00000000              19.19084500
         2        73         8       -0.23241900       -0.24727956               0.00000000             -55.62861204
         2        74         1        0.15711800        0.14221778               0.00000000              19.18862506
         2        75         1        0.15419000        0.15908957               0.00000000              19.19003037
         2        76         8       -0.29348600       -0.30377343               0.00000000             -55.62340845
         2        77         1        0.13488600        0.14315567               0.00000000              19.19002258
         2        78         1        0.11560500        0.11454570               0.00000000              19.18511380
         2        79         8       -0.30710300       -0.30660874               0.00000000             -55.62264787
         2        80         1        0.12420700        0.13935817               0.00000000              19.18948259
         2        81         1        0.10980100        0.10729518               0.00000000              19.18658878
         2        82         8       -0.28571000       -0.28456405               0.00000000             -55.62584687
         2        83         1        0.14959300        0.15167706               0.00000000              19.18950829
         2        84         1        0.14654100        0.14101486               0.00000000              19.18955377
         2        85         8       -0.27649000       -0.28664754               0.00000000             -55.62463736
         2        86         1        0.13681700        0.15052251               0.00000000              19.18841962
         2        87         1        0.12347800        0.11541560               0.00000000              19.18835806
         2        88         8       -0.22684100       -0.22260317               0.00000000             -55.62769321
         2        89         1        0.16834600        0.16170045               0.00000000              19.18770498
         2        90         1        0.16398600        0.15733272               0.00000000              19.18879451
         2        91         8       -0.25079800       -0.26086351               0.00000000             -55.62566932
         2        92         1        0.15431500        0.15147610               0.00000000              19.19006054
         2        93         1        0.14517600        0.14790931               0.00000000              19.19007521
         2        94         8       -0.26909500       -0.27266307               0.00000000             -55.62499514
         2        95         1        0.13556900        0.11728035               0.00000000              19.18707458
         2        96         1        0.13954600        0.15007496               0.00000000              19.18911555
         2        97         8       -0.22698000       -0.21833669               0.00000000             -55.62488646
         2        98         1        0.15164900        0.14185186               0.00000000              19.18900182
         2        99         1        0.16225600        0.14162704               0.00000000              19.18970626
         2       100         8       -0.27309300       -0.26687934               0.00000000             -55.62521655
         2       101         1        0.13428000        0.14622503               0.00000000              19.18953487
         2       102         1        0.13252800        0.14239198               0.00000000              19.18860632
         2       103         8       -0.27549400       -0.28000375               0.00000000             -55.62570240
         2       104         1        0.14339700        0.14310071               0.00000000              19.18957549
         2       105         1        0.14798600        0.14459370               0.00000000              19.19049937
         2       106         8       -0.28819800       -0.29685449               0.00000000             -55.62531115
         2       107         1        0.13239100        0.14434523               0.00000000              19.18875834
         2       108         1        0.14190000        0.13954109               0.00000000              19.18815146
         2       109         8       -0.30711700       -0.33538921               0.00000000             -55.62643766
         2       110         1        0.12039600        0.11840564               0.00000000              19.19021122
         2       111         1        0.14286600        0.14941558               0.00000000              19.18845674
         2       112         8       -0.26625500       -0.27208651               0.00000000             -55.62559423
         2       113         1        0.13200500        0.13545612               0.00000000              19.18940392
         2       114         1        0.14036400        0.14793407               0.00000000              19.18931339
         2       115         8       -0.30475500       -0.30667014               0.00000000             -55.62173871
         2       116         1        0.11916700        0.13780529               0.00000000              19.18814551
         2       117         1        0.11114200        0.12583708               0.00000000              19.18758760
         2       118         8       -0.24868500       -0.25514178               0.00000000             -55.62521463
         2       119         1        0.15165700        0.15037667               0.00000000              19.19150450
