     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1        92               0.00771700              -0.00035600              -0.00146000              -0.00279896               0.00585017               0.00382305
         1        93              -0.01025700              -0.01423100              -0.00598700              -0.00920344              -0.00958632              -0.00392698
         1        94              -0.01186600              -0.02677100               0.01966300               0.00722735              -0.01481868               0.00633157
         1        95              -0.00066100               0.00988000              -0.01155900              -0.00428481               0.00885143              -0.00225180
         1        96               0.01388000               0.00969400              -0.00163700               0.00435972               0.00261292               0.00017925
         1        97              -0.01307400              -0.02826100               0.02913300              -0.00373991              -0.01110521               0.00650753
         1        98               0.00146600               0.00891400              -0.02057800               0.00333262              -0.00095862              -0.00674483
         1        99               0.00607200               0.01442700              -0.00083300              -0.00517898               0.00478681               0.00128951
         1       100               0.01082500              -0.00863700              -0.01342100               0.01853622              -0.00179677              -0.01391217
         1       101               0.00216500               0.00536700               0.00340500               0.00233967              -0.00115682               0.00142180
         1       102              -0.00383600              -0.00015800               0.00849200              -0.01004065               0.00374773               0.01369044
         1       103               0.00262900              -0.04658700               0.00220400               0.00282456              -0.01449314              -0.00184990
         1       104               0.00421000               0.03430900              -0.00758400              -0.00140330               0.01631368               0.00270831
         1       105              -0.00261000               0.01061300               0.01104900              -0.00236050              -0.00049186               0.00349113
         1       106              -0.01581700               0.00394900              -0.01762500              -0.01363878               0.00343729              -0.00498017
         1       107              -0.00198600               0.00574200               0.00485300              -0.00222041               0.00193807              -0.01028627
         1       108               0.02154500              -0.00673200               0.01266400               0.01454976              -0.00274029               0.01032696
         1       109              -0.00905700               0.03092100               0.00988000              -0.00678914               0.01091779               0.01238500
         1       110              -0.00433200              -0.00716100              -0.01102300               0.00254334              -0.00376021              -0.01231534
         1       111               0.01171600              -0.02245800               0.00958600               0.00424547              -0.00392083               0.00105481
         1       112              -0.01767100              -0.00024900              -0.00852100              -0.00263871              -0.00458011              -0.00381280
         1       113               0.00270500               0.00413800               0.01073800              -0.00226935               0.00193099               0.00283842
         1       114               0.00770000               0.00291400               0.00050700               0.00177211               0.00322384               0.00327113
         1       115               0.00083900              -0.00018200               0.00643200              -0.00065329               0.00287635               0.00318493
         1       116              -0.00679400              -0.00907100              -0.01885500              -0.00186043              -0.00383919              -0.00581389
         1       117               0.01719700               0.01523600               0.00212900               0.00392141              -0.00155099               0.00100881
         1       118              -0.00729600              -0.00173400               0.01197400              -0.00896467              -0.00448836               0.00528604
         1       119               0.00229800               0.00181300               0.00550600               0.00090488               0.00363206               0.00233565
         1       120               0.00457200               0.00403400              -0.01332100               0.00028296               0.00262054              -0.00129136
         1       121               0.01206000              -0.00858100              -0.00923500              -0.00463381               0.00819161               0.00119400
         1       122              -0.01223200               0.00393700               0.00444900              -0.00341848              -0.00212108              -0.00484961
         1       123               0.00261600               0.00092400               0.00144400               0.00686637              -0.00197248              -0.00010353
         1       124               0.00051800              -0.01500000              -0.01423100              -0.00756305              -0.00174472               0.00793037
         1       125              -0.00737100               0.01334600               0.01695000               0.00022880               0.00511136               0.00751684
         1       126               0.00133100              -0.00166500               0.00285600              -0.00109520              -0.00040226              -0.00084951
         1       127               0.00920400               0.01453900               0.00234600               0.00799127               0.00778002               0.00244032
         1       128              -0.00218900              -0.00619500              -0.00353100              -0.00561722              -0.00902684              -0.00289336
         1       129              -0.00426500              -0.00727800               0.00726000               0.00393069               0.00343105               0.00328967
         1       130               0.02962900              -0.00968200               0.00794800               0.01328538              -0.00029901               0.00391688
         1       131               0.00375800               0.00367800              -0.00081600               0.00177005              -0.00074475              -0.00123556
         1       132              -0.02991900               0.00224800              -0.00883800              -0.01608258               0.00245149              -0.00568534
         1       133               0.01005700              -0.05073600               0.00114200               0.00489930              -0.02499809               0.00095808
         1       134              -0.01607900               0.04422700               0.01533900              -0.00533945               0.02576277               0.00284269
         1       135               0.00267600               0.01083900              -0.01910600               0.00018168               0.00119090              -0.00691921
         1       136              -0.01311000               0.00471800              -0.00027700              -0.00609605               0.00264953               0.00137143
         1       137               0.01405400               0.00400000               0.00043700               0.00926134               0.00412795               0.00468563
         1       138              -0.00135200              -0.00065500              -0.00010500               0.00122716              -0.00518194              -0.00526862
         1       139              -0.03874400               0.01972400               0.00881800              -0.01444767               0.02499818               0.00500851
         1       140               0.04415500              -0.01791500              -0.00506700               0.03126156              -0.01025609              -0.00286694
         1       141              -0.00873700              -0.00175000              -0.00464900              -0.01468003              -0.01247445               0.00062437
         1       142               0.00017500              -0.01412400              -0.00448700               0.00553004               0.00258669              -0.00267616
         1       143               0.00618600               0.00712100              -0.00263700               0.00216328               0.00104662               0.00027805
         1       144               0.00173900               0.00752800               0.00689800              -0.00064351              -0.00074520               0.00062509
